users,delta_hash_ops,delta_time_ms,batch_hash_ops,batch_time_ms,gas_used
100,7,0.013113021850585938,70,0.072479248046875,30729
500,9,0.0133514404296875,90,0.10085105895996094,30729
1000,10,0.0247955322265625,100,0.10585784912109375,30729
5000,13,0.03600120544433594,130,0.24008750915527344,30705
